query,product,label
 revent 80 cfm,Panasonic FV-20VQ3 WhisperCeiling 190 CFM Ceiling Mounted Fan,no_substitute
 revent 80 cfm,"Broan Very Quiet Ceiling Bathroom Exhaust Fan, ENERGY STAR Certified, 0.3 Sones, 80 CFM",no_substitute
 revent 80 cfm,Delta BreezSignature VFB25ACH 80 CFM Exhaust Bath Fan with Humidity Sensor,no_substitute
 revent 80 cfm,Aero Pure AP80RVLW Super Quiet 80 CFM Recessed Fan/Light Bathroom Ventilation Fan with White Trim Ring,no_substitute
 revent 80 cfm,"Panasonic FV-0811VF5 WhisperFit EZ Retrofit Ventilation Fan, 80 or 110 CFM",no_substitute
 revent 80 cfm,"Aero Pure AP120H-SL W Slim Fit 120 CFM Bathroom Fan with LED Light and Humidity Sensor, White Finish",no_substitute
 revent 80 cfm,"Delta Electronics (Americas) Ltd. RAD80 Delta BreezRadiance Series 80 CFM Fan with Heater, 10.5W, 1.5 Sones",no_substitute
 revent 80 cfm,"Delta Electronics (Americas) Ltd. GBR80HLED Delta BreezGreenBuilder Series 80 CFM Fan/Dimmable H, LED Light, Dual Speed & Humidity Sensor",no_substitute
 revent 80 cfm,"Panasonic FV-0510VS1 WhisperValue DC Ventilation Fan, 50-80-100 CFM",no_substitute
 revent 80 cfm,"Panasonic FV-0510VSL1 WhisperValue DC Ventilation Fan with Light, 50-80-100 CFM",no_substitute
 revent 80 cfm,"Panasonic FV-0511VQ1 WhisperCeiling DC Ventilation Fan, Speed Selector, SmartFlow Technology, Quiet,White",no_substitute
 revent 80 cfm,"Aero Pure ABF80 L5 W ABF80L5 Ceiling Mount 80 CFM w/LED Light/Nightlight, Energy Star Certified, White Quiet Bathroom Ventilation Fan",no_substitute
 revent 80 cfm,Panasonic FV-08VRE2 Ventilation Fan with Recessed LED (Renewed),no_substitute
 revent 80 cfm,Delta Electronics RAD80L BreezRadiance 80 CFM Heater/Fan/Light Combo White (Renewed),no_substitute
 revent 80 cfm,"Homewerks 7140-80 Bathroom Fan Ceiling Mount Exhaust Ventilation, 1.5 Sones, 80 CFM, White",no_substitute
 revent 80 cfm,"Homewerks 7141-80 Bathroom Fan Integrated LED Light Ceiling Mount Exhaust Ventilation, 1.1 Sones, 80 CFM",no_substitute
# 2 pencils not sharpened,"Ticonderoga Beginner Pencils, Wood-Cased #2 HB Soft, With Eraser, Yellow, 12-Pack (13308)",no_substitute
# 2 pencils not sharpened,"TICONDEROGA Tri-Write Triangular Pencils, Standard Size Wood-Cased #2 HB Soft, Yellow, 8-Pack (13852)",no_substitute
# 2 pencils not sharpened,"TICONDEROGA Pencils, Wood-Cased, Unsharpened, Graphite #2 HB Soft, Yellow, 96-Pack (13872)",no_substitute
# 2 pencils not sharpened,"Ticonderoga Pencils, Wood-Cased Graphite #2 HB Soft, Yellow, 12-Pack (13882)",no_substitute
